City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
418,Linfen,CN,75.2,broken clouds,36.0889,111.5189,Suoxing Hotel
425,Puerto Del Rosario,ES,76.75,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
426,Fare,PF,77.47,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
427,Umm Kaddadah,SD,79.81,few clouds,13.6017,26.6876,
428,Charlottesville,US,77.09,scattered clouds,38.0293,-78.4767,Hilton Garden Inn Charlottesville
429,Poya,NC,77.49,overcast clouds,-21.35,165.15,
434,Libreville,GA,75.22,scattered clouds,0.3925,9.4537,Le Méridien Re-Ndama
435,Mangan,IN,78.08,overcast clouds,27.5167,88.5333,Hotel Mout View
436,Bilma,NE,88.47,clear sky,18.6853,12.9164,Expeditions Ténére voyages
442,Minab,IR,88.12,broken clouds,27.1467,57.0801,Bam campground
443,Gizo,SB,84.13,few clouds,-8.103,156.8419,Imagination Island
444,Tieli,CN,79.39,scattered clouds,46.95,128.05,Dynasty Hotel
449,Baculin,PH,84.97,broken clouds,7.4525,126.5842,Baculin Cove Beach Resort
451,Kodinar,IN,80.26,overcast clouds,20.7903,70.7031,residency of N.B vadhel
453,Antalya,TR,84.79,clear sky,36.7741,30.7178,
454,Kavaratti,IN,81.41,overcast clouds,10.5669,72.642,Green leaf
459,Nagato,JP,83.14,broken clouds,34.3833,131.2,いそう庵
462,Manggar,ID,83.14,scattered clouds,-2.8833,108.2667,Guest Hotel
472,Beyneu,KZ,86.05,clear sky,45.3167,55.2,NUR
473,Humaita,BR,75.96,clear sky,-7.5061,-63.0208,Corrêa Hotel
475,Dyersburg,US,87.94,scattered clouds,36.0345,-89.3856,Hampton Inn Dyersburg
476,Esso,RU,81.88,few clouds,55.9333,158.7,Paramushir Tur
479,Yerofey Pavlovich,RU,77.16,overcast clouds,53.9667,121.9667,lounges and warm parking
481,Ouegoa,NC,78.76,overcast clouds,-20.35,164.4333,
484,Jalu,LY,75.18,clear sky,29.0331,21.5482,صاحبة الفخامة
486,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
488,Totness,SR,78.13,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
490,Bushehr,IR,89.69,haze,28.9684,50.8385,Yas Hotel
499,Coahuayana,MX,80.28,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
501,Hami,CN,75.52,moderate rain,42.8,93.45,Laoyutang Resort
502,Kaka,TM,85.17,clear sky,37.3482,59.6143,
504,Anloga,GH,75.13,scattered clouds,5.7947,0.8973,Pin Drop Hotel
509,Artyom,AZ,77.67,clear sky,40.4723,50.333,Pir hos
511,Kuroiso,JP,81.43,overcast clouds,36.9667,140.05,HOTEL SOUMAYA
513,Partapur,IN,77.13,overcast clouds,23.6,74.1667,Hotel The Park
519,Akdepe,TM,80.69,clear sky,42.0551,59.3788,
520,Dhidhdhoo,MV,80.04,overcast clouds,6.8833,73.1,Dhidhoo beach
527,Sur,OM,83.39,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
530,Banda Aceh,ID,83.68,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
535,Ranong,TH,81.99,light rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
537,Qandala,SO,88.65,overcast clouds,11.472,49.8728,
540,Tazmalt,DZ,79.43,clear sky,36.3868,4.3989,Hôtel Numédia
546,Kamaishi,JP,75.47,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
553,Atar,MR,86.72,clear sky,20.5169,-13.0499,Oumou Elghoura
554,Bonthe,SL,76.1,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
558,Puta,AZ,78.82,clear sky,40.2967,49.6603,Baki Shipyard
562,Labuhan,ID,82.45,scattered clouds,-6.8844,112.2051,DoubleFAG
563,West Bay,KY,82.47,few clouds,19.3667,-81.4167,Calypso Cove
565,Mayo,US,84.11,clear sky,38.8876,-76.5119,Resorts Resource Group International
566,Pemangkat,ID,84.56,overcast clouds,1.1667,108.9667,Ramah Kost KITA
567,Ust-Nera,RU,79.92,few clouds,64.5667,143.2,Hotel Ust-Nera
569,Antu,IN,87.98,broken clouds,26.05,81.9167,Ram Govind Verma
571,Mazagao,BR,78.85,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
574,Sungairaya,ID,85.95,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
575,Elizabeth City,US,82.98,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
579,Meulaboh,ID,80.13,scattered clouds,4.1363,96.1285,Kost Pria
581,Grand Island,US,88.09,clear sky,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
585,Borzya,RU,78.84,overcast clouds,50.3833,116.5167,Tikhiy
595,Carutapera,BR,75.81,overcast clouds,-1.195,-46.02,Lidera
598,La Plaine,DM,78.44,broken clouds,15.3333,-61.25,Citrus Creek Plantation
600,San Jose,US,84.88,few clouds,37.3394,-121.895,The Westin San Jose
602,Sao Miguel Do Tapuio,BR,76.73,scattered clouds,-5.5036,-41.3233,Hotel Tropical
603,The Pas,CA,78.82,broken clouds,53.8251,-101.2541,Wescana Inn
607,Taoudenni,ML,89.15,clear sky,22.6783,-3.9836,
608,Panguna,PG,79.93,light rain,-6.3164,155.4848,
610,Kyaukse,MM,86.72,overcast clouds,21.6,96.1333,Shwe Thit Sar Guesthouse
612,Tiznit,MA,85.19,broken clouds,29.5833,-9.5,
613,Pierre,US,85.05,clear sky,44.3683,-100.351,Ramkota Hotel
614,Tawala,PH,81.99,moderate rain,9.5542,123.7696,Panglao Regents Park Resort
616,Virginia Beach,US,86.05,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
618,Abnub,EG,82.62,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
619,San Rafael Del Sur,NI,79.05,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
623,Pitogo,PH,87.26,overcast clouds,13.7847,122.0881,Ricronald
627,Tura,IN,75.33,heavy intensity rain,25.5198,90.2201,Hotel RIKMAN Continental
628,Nichinan,JP,78.48,heavy intensity rain,31.6,131.3667,Guest House Aki
632,Buraydah,SA,82.85,clear sky,26.326,43.975,Mövenpick Qassim
633,Cockburn Town,TC,82.13,clear sky,21.4612,-71.1419,Osprey Beach Hotel
637,Ashland,US,76.98,clear sky,40.8167,-82.2665,SureStay
639,Korla,CN,77.59,broken clouds,41.7597,86.1469,Gulisitan Hotel
640,Crotone,IT,78.19,clear sky,39.0851,17.1178,Helios Hotel
641,Nieuw Nickerie,SR,79.47,overcast clouds,5.95,-56.9833,Ishwardat Inn
649,Awbari,LY,78.04,clear sky,26.5921,12.7805,فندق أوباري
653,Safaga,EG,87.62,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
654,Shieli,KZ,82.81,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
656,Ingham,US,80.55,clear sky,42.6,-84.3833,Sunset Mobile Home Park
657,Lincoln,US,84.96,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
658,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
660,Westport,US,86.09,clear sky,41.1415,-73.3579,The Westport Inn
661,Horn,DE,76.98,clear sky,51.8715,8.9451,Ringhotel Waldhotel Bärenstein
662,Salvador,SV,75.6,broken clouds,13.8333,-88.9167,Chico's Ranch
663,Manado,ID,86.77,few clouds,1.487,124.8455,Aryaduta Hotel
666,Weihe,CN,77.04,clear sky,32.9952,105.3247,
668,Plainview,US,89.06,clear sky,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
670,Baniachang,BD,79.7,overcast clouds,24.5167,91.3667,ভটে বাড়ি বানিয়াচং হবিগঞ্জ
671,Gwadar,PK,83.37,broken clouds,25.1216,62.3254,Sadaf Resort
673,Alenquer,BR,77.63,overcast clouds,-1.9417,-54.7383,Detinha Hotel
674,Ube,JP,87.24,broken clouds,33.9431,131.2511,"ANA Crowne Plaza Ube, an IHG Hotel"
678,Makat,KZ,76.05,broken clouds,47.6469,53.3463,Umit
679,Biak,ID,81.09,overcast clouds,-0.9131,122.8766,Penginapan Kim
680,Galesong,ID,82.42,broken clouds,-5.3166,119.3661,Sapriadi Appy
682,Aron,IN,77.04,overcast clouds,24.3833,77.4167,Shri Ram marriage garden aron
683,Wajima,JP,77.68,broken clouds,37.4,136.9,Wajiima Onsen Yashio
684,Hickory,US,78.35,overcast clouds,35.7332,-81.3412,"Crowne Plaza Hickory, an IHG Hotel"
686,Kismayo,SO,75.54,overcast clouds,-0.3582,42.5454,Agan-Hotel
687,Kuching,MY,87.06,few clouds,1.55,110.3333,Hilton Kuching
