City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
72,Hobart,AU,2022-12-22 22:30:20,-42.8794,147.3294,65.26,77,75,4.61
73,Bethal,ZA,2022-12-22 22:34:59,-26.4579,29.4655,57.52,77,1,4.76
74,Hermanus,ZA,2022-12-22 22:34:59,-34.4187,19.2345,61.81,85,93,1.19
75,Dom Pedro,BR,2022-12-22 22:35:00,-4.4833,-44.45,74.19,95,97,3.6
76,Mataura,NZ,2022-12-22 22:35:00,-46.1927,168.8643,62.92,83,95,4.68
77,Usinsk,RU,2022-12-22 22:35:00,65.9939,57.5281,3.06,96,93,10.47
78,Busselton,AU,2022-12-22 22:35:01,-33.65,115.3333,67.62,61,92,11.18
79,Port Hardy,CA,2022-12-22 22:30:33,50.6996,-127.4199,24.98,86,100,29.93
80,Avarua,CK,2022-12-22 22:35:02,-21.2078,-159.775,84.25,79,75,13.8
81,Kapaa,US,2022-12-22 22:35:03,22.0752,-159.319,80.92,71,20,17.27
82,Hay River,CA,2022-12-22 22:35:04,60.8156,-115.7999,-29.22,68,40,3.44
83,Narsaq,GL,2022-12-22 22:35:05,60.9167,-46.05,10.62,63,0,9.19
84,Dingle,PH,2022-12-22 22:35:05,10.9995,122.6711,76.24,94,91,9.55
85,Airai,TL,2022-12-22 22:35:07,-8.9266,125.4092,64.47,76,69,2.19
86,Sao Joao Da Barra,BR,2022-12-22 22:35:08,-21.6403,-41.0511,73.49,86,37,11.03
87,Kaitangata,NZ,2022-12-22 22:35:08,-46.2817,169.8464,63.18,70,100,4.92
88,Castro,BR,2022-12-22 22:35:09,-24.7911,-50.0119,57.78,91,38,7.67
89,Tezu,IN,2022-12-22 22:35:10,27.9167,96.1667,60.91,53,83,2.84
90,Athens,GR,2022-12-22 22:33:57,37.9795,23.7162,54.16,82,40,1.99
91,Esperance,AU,2022-12-22 22:36:10,-33.8667,121.9,64.29,64,34,6.71
92,Namibe,AO,2022-12-22 22:36:11,-15.1961,12.1522,67.82,77,79,8.37
93,Kavaratti,IN,2022-12-22 22:36:12,10.5669,72.642,81.19,62,85,8.46
94,Chuy,UY,2022-12-22 22:36:12,-33.6971,-53.4616,67.95,72,4,15.21
95,Longyearbyen,SJ,2022-12-22 22:36:13,78.2186,15.6401,19.24,68,75,23.02
96,Sao Joaquim,BR,2022-12-22 22:36:14,-28.2939,-49.9317,54.75,90,91,3.83
97,Praia Da Vitoria,PT,2022-12-22 22:36:14,38.7333,-27.0667,59.76,77,40,15.41
98,Redcliffe,AU,2022-12-22 22:36:14,-27.2307,153.0973,80.22,57,40,9.22
99,Port Elizabeth,ZA,2022-12-22 22:36:15,-33.918,25.5701,70.09,90,0,13.8
100,Khatanga,RU,2022-12-22 22:36:15,71.9667,102.5,-17.1,93,100,1.66
101,Chicama,PE,2022-12-22 22:36:16,-7.8447,-79.1469,68.54,73,47,8.41
102,Saint George,US,2022-12-22 22:36:16,37.1041,-113.5841,56.62,34,0,1.99
103,Mbuji-Mayi,CD,2022-12-22 22:36:17,-6.15,23.6,67.69,95,100,3.44
104,San Ramon,US,2022-12-22 22:34:29,37.7799,-121.978,59.41,71,0,9.22
105,Nemuro,JP,2022-12-22 22:36:17,43.3236,145.575,38.88,91,100,28.14
106,Te Anau,NZ,2022-12-22 22:36:18,-45.4167,167.7167,68.43,50,61,1.88
107,Barinas,VE,2022-12-22 22:36:18,8.6226,-70.2075,89.64,45,5,6.91
108,Ilulissat,GL,2022-12-22 22:36:19,69.2167,-51.1,6.82,51,40,2.3
109,Aklavik,CA,2022-12-22 22:36:19,68.2191,-135.0107,5.0,78,100,16.11
110,Antalaha,MG,2022-12-22 22:36:19,-14.9003,50.2788,75.02,93,100,2.15
111,Isugod,PH,2022-12-22 22:36:20,9.3408,118.1196,78.15,87,89,10.85
112,Port Blair,IN,2022-12-22 22:36:20,11.6667,92.75,80.64,78,40,2.3
113,Ponta Do Sol,PT,2022-12-22 22:36:21,32.6667,-17.1,66.83,85,27,3.58
114,Yar-Sale,RU,2022-12-22 22:36:21,66.8333,70.8333,-7.22,97,33,8.63
115,Sitka,US,2022-12-22 22:34:15,57.0531,-135.33,33.69,27,100,18.41
116,Balabac,PH,2022-12-22 22:36:22,7.9868,117.0645,80.38,75,65,17.4
117,Kamenka,RU,2022-12-22 22:36:22,51.3223,42.7678,32.22,84,100,10.58
