City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
69,Alyangula,AU,82.15,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
73,Luanda,AO,78.13,few clouds,-8.8368,13.2343,EPIC SANA Luanda
76,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,Le four à pain
84,Diofior,SN,73.45,overcast clouds,14.1833,-16.6667,Souimanga Lodge
86,Sarangani,PH,78.93,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
89,Port Alfred,ZA,67.17,clear sky,-33.5906,26.891,The Halyards Hotel & Spa
91,Saint-Pierre,RE,79.92,clear sky,-21.3393,55.4781,Alize Plage
92,Isangel,VU,84.31,overcast clouds,-19.55,169.2667,Tanna Lodge
93,Dubbo,AU,66.33,clear sky,-32.25,148.6167,Quality Inn Dubbo International
94,Opopeo,MX,61.66,broken clouds,19.4,-101.6,Cabañas El Paraíso
101,Gwadar,PK,74.16,overcast clouds,25.1216,62.3254,Sadaf Resort
102,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
104,Port Hedland,AU,78.85,light rain,-20.3167,118.5667,The Esplanade Hotel
106,Auki,SB,77.65,overcast clouds,-8.7676,160.7034,Auki Motel
107,Oeiras Do Para,BR,82.26,broken clouds,-2.0031,-49.8544,Araticu Soft Hotel
109,Clarence Town,AU,70.86,clear sky,-32.5833,151.7833,River Downs Cottage
111,Pacifica,US,60.15,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
113,Palu,ID,75.25,moderate rain,-0.8917,119.8707,Hotel Santika Palu
114,Kapaa,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
116,Ribeira Grande,PT,61.77,light intensity shower rain,38.5167,-28.7,Quinta da Meia Eira
118,Takoradi,GH,79.83,broken clouds,4.8845,-1.7554,Raybow International Hotel
119,Mae Sai,TH,60.35,scattered clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
120,Bredasdorp,ZA,67.86,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
123,Carnarvon,AU,76.82,light rain,-24.8667,113.6333,Hospitality Carnarvon
125,Calama,CL,73.89,few clouds,-22.4667,-68.9333,Park Hotel Calama
129,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
131,Aquiraz,BR,84.29,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
135,Victoria,HK,62.94,scattered clouds,22.2855,114.1577,Mini Central
137,Tuatapere,NZ,66.83,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
141,Nisia Floresta,BR,83.21,clear sky,-6.0911,-35.2086,Rancho Crepusculo
143,Trairi,BR,81.88,overcast clouds,-3.2778,-39.2689,janelas do mar
144,Karratha,AU,80.38,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
145,Salalah,OM,73.49,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
148,San Cristobal,VE,78.98,scattered clouds,7.7669,-72.225,Pirineos
152,East London,ZA,71.26,clear sky,-33.0153,27.9116,Tu Casa
153,Magdalena,PH,73.35,overcast clouds,14.1999,121.429,Samparada & Gestiada Residences
156,Dunedin,NZ,60.76,scattered clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
157,Sainte-Marie,RE,80.42,light rain,-20.8968,55.5496,Les pailles en queue de Sainte Marie
159,Faanui,PF,81.09,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
162,Soyo,AO,79.14,scattered clouds,-6.1349,12.3689,Hospedaria ndozi'ame
164,Chuy,UY,74.07,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
167,Namibe,AO,71.96,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
171,Olhao,PT,64.29,clear sky,37.0286,-7.8411,Real Marina Residence
173,Tabora,TZ,64.04,overcast clouds,-5.0167,32.8,Barcelona Lodge
175,Puerto Ayora,EC,84.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
177,Bengkulu,ID,75.9,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
181,Sao Filipe,CV,71.62,overcast clouds,14.8961,-24.4956,Hotel Xaguate
182,Pombas,CV,71.38,scattered clouds,17.1503,-25.0201,Paul Paradis
188,Pisco,PE,78.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
190,Gashua,NG,65.26,clear sky,12.871,11.0482,Forte Oil - Old Lorry Park
191,Senanga,ZM,72.79,few clouds,-16.1167,23.2667,Zango lodge
192,Mahebourg,MU,78.26,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
195,Kattivakkam,IN,78.89,clear sky,13.2167,80.3167,Euronova Freezer
196,Kruisfontein,ZA,64.53,clear sky,-34.0033,24.7314,Oyster Bay House Rental
199,Zaruma,EC,82.54,moderate rain,-3.6833,-79.6167,Hotel Zaruma Colonial
200,Guarapari,BR,77.9,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
202,Georgetown,MY,79.23,light rain,5.4112,100.3354,Cititel Penang
203,Tairua,NZ,68.92,clear sky,-37.0167,175.85,Pacific Harbour Villas
205,Natal,BR,83.05,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
206,Bambous Virieux,MU,78.22,few clouds,-20.3428,57.7575,Casa Tia Villa
208,Muncar,ID,74.93,overcast clouds,-8.4333,114.3333,Zaky Homestay
210,Port Harcourt,NG,80.78,scattered clouds,4.7774,7.0134,The Riviera Homes Golf Resort
211,Si Racha,TH,76.19,broken clouds,13.1737,100.9311,Cape Racha Hotel & Serviced Apartments
212,Umm Lajj,SA,66.47,clear sky,25.0213,37.2685,Moon light Furnished Units
214,Bontang,ID,76.59,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
216,Arraial Do Cabo,BR,84.06,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
220,Chongoyape,PE,84.69,overcast clouds,-6.6406,-79.3892,Hotel Caral
221,Port Keats,AU,81.03,moderate rain,-14.25,129.55,Kardu Durrikardu Numida Hostel
225,Sao Joao Da Barra,BR,78.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
228,Ixtapa,MX,78.03,clear sky,20.7,-105.2,hotel la terminal
229,Sucre,BO,66.94,broken clouds,-19.0333,-65.2627,Hostal CasArte Takubamba
231,Pajapan,MX,68.16,scattered clouds,18.25,-94.7,Hotel Del Carmen
232,Ca Mau,VN,71.19,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
233,Augusto Correa,BR,76.39,broken clouds,-1.0217,-46.635,Fazenda Bacuri
235,San Jose,US,60.3,overcast clouds,37.3394,-121.895,The Westin San Jose
240,Carutapera,BR,78.28,light rain,-1.195,-46.02,Lidera
242,Kaitangata,NZ,63.23,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
243,Katherine,AU,77.32,overcast clouds,-14.4667,132.2667,Pine Tree Motel
244,Cidreira,BR,70.88,overcast clouds,-30.1811,-50.2056,Hotel Castelo
247,Kaeo,NZ,74.32,clear sky,-35.1,173.7833,Bushido Lodge
250,Puerto Escondido,MX,83.23,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
252,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
261,Bealanana,MG,64.27,light rain,-14.55,48.7333,Le Delta
263,Belmonte,BR,76.64,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
266,Sirsilla,IN,74.64,scattered clouds,18.3833,78.8333,Guest rooms
267,Hambantota,LK,74.77,scattered clouds,6.1241,81.1185,Bungalow 63
270,Bubaque,GW,79.29,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
273,Constitucion,CL,65.66,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
274,Souillac,MU,77.38,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
276,Anito,PH,76.77,moderate rain,12.4497,125.2886,El Felix Cottages
278,Puri,IN,73.92,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
279,Norwalk,US,69.64,clear sky,33.9022,-118.0817,DoubleTree by Hilton Hotel Los Angeles - Norwalk
281,Calvinia,ZA,67.96,clear sky,-31.4707,19.776,Die Lemoenhuis
282,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
286,Tabou,CI,80.49,few clouds,4.423,-7.3528,hotêl doufoulougou
287,Lima,PE,71.85,broken clouds,-12.0432,-77.0282,Hotel Kamana
297,Kang,BW,81.75,scattered clouds,-23.6752,22.7876,Kang Ultra Stop
301,Kavaratti,IN,80.78,few clouds,10.5669,72.642,Green leaf
303,Tigzirt,DZ,60.01,few clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
307,Lhokseumawe,ID,75.43,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
308,Samarai,PG,80.15,moderate rain,-10.6167,150.6667,Nuli Sapi
309,Atar,MR,65.28,broken clouds,20.5169,-13.0499,Oumou Elghoura
310,Japura,ID,72.36,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
311,Puerto Del Rosario,ES,71.35,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
312,Mutoko,ZW,63.81,clear sky,-17.397,32.2268,Suskwe Lodge Mutoko
313,Te Anau,NZ,68.18,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
314,Puerto Baquerizo Moreno,EC,79.79,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
316,Boyuibe,BO,81.39,overcast clouds,-20.4167,-63.2833,Residencial Eluzai
317,Saldanha,ZA,64.45,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
318,Sola,VU,75.87,heavy intensity rain,-13.8833,167.55,Leumerus Bungalows
322,Benguela,AO,77.74,broken clouds,-12.5763,13.4055,Hotel Praia Morena
323,Mogadishu,SO,78.58,broken clouds,2.0371,45.3438,Hotel Juba
326,Mudgee,AU,64.78,clear sky,-32.5943,149.5871,Parklands Resort & Conference Centre
329,Porirua,NZ,67.55,clear sky,-41.1333,174.85,Amethyst Court Motor lodge (Best Price on direct bookings)
334,Saurimo,AO,66.0,light rain,-9.6608,20.3916,Hotel Kawissa Saurimo
335,Caravelas,BR,75.85,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
343,Mahibadhoo,MV,80.76,overcast clouds,3.7833,72.9667,Omadhoo Inn
344,Liuli,TZ,72.46,moderate rain,-11.0833,34.6333,"Puulu Beach,Puulu Village"
345,Kudahuvadhoo,MV,81.63,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
346,Oxapampa,PE,66.54,broken clouds,-10.5775,-75.4017,Hotel Heidinger
347,The Valley,AI,82.26,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
348,Mareeba,AU,72.45,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
349,Mananara,MG,71.94,scattered clouds,-16.1667,49.7667,Chez Roger
355,Buala,SB,81.18,light rain,-8.145,159.5921,Maringe Lagoon Lodge
356,Kulhudhuffushi,MV,79.99,scattered clouds,6.6221,73.07,Haajy Guest House 1
357,Yenagoa,NG,77.49,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
360,Axim,GH,79.12,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
363,Manggar,ID,77.94,overcast clouds,-2.8833,108.2667,Guest Hotel
364,Gurupa,BR,83.19,moderate rain,-1.405,-51.64,Hotel Vitória
365,Cangucu,BR,72.61,overcast clouds,-31.395,-52.6756,Tchê Parque
368,Alta Floresta,BR,76.19,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
369,Poso,ID,78.13,moderate rain,-1.3959,120.7524,Hotel 77 Poso
370,Manaus,BR,75.69,moderate rain,-3.1019,-60.025,Manaus Hotéis Millennium
373,Bousse,BF,72.45,scattered clouds,12.6606,-1.8922,Maison d'hôtes EBEN-EZER DE BOUSSE
374,Palm Coast,US,60.13,clear sky,29.585,-81.2078,Hammock Beach Golf Resort & Spa
380,Los Llanos De Aridane,ES,67.75,scattered clouds,28.6585,-17.9182,Valle Aridane
383,Broken Hill,AU,82.45,clear sky,-31.95,141.4333,Royal Exchange Hotel
387,Matara,LK,73.69,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
391,Malanje,AO,65.03,light rain,-9.5402,16.341,Hotel Ginga
393,Copiapo,CL,71.29,clear sky,-27.3667,-70.3333,Antay Casino Hotel
