City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,Mareeba,AU,-17.0,145.4333,75.49,70,16,4.54,few clouds
175,Maceio,BR,-9.6658,-35.7353,74.64,83,0,3.44,clear sky
176,Butaritari,KI,3.0707,172.7902,82.11,78,92,14.29,light rain
177,Verkhnyaya Toyma,RU,62.2349,44.9985,58.59,95,100,8.7,overcast clouds
178,Mumford,GH,5.2618,-0.759,73.85,79,100,8.57,overcast clouds
179,Pangnirtung,CA,66.1451,-65.7125,47.52,83,100,0.83,light rain
180,Awjilah,LY,29.1081,21.2869,76.06,41,3,11.21,clear sky
181,Darnah,LY,32.767,22.6367,74.55,67,0,22.68,clear sky
182,Bauska,LV,56.4075,24.1906,55.2,97,46,7.7,scattered clouds
183,Castro,BR,-24.7911,-50.0119,58.51,93,0,2.3,clear sky
184,Paamiut,GL,61.994,-49.6678,44.31,98,100,4.41,overcast clouds
185,East London,ZA,-33.0153,27.9116,63.97,83,96,13.91,light rain
186,Flinders,AU,-34.5833,150.8552,56.17,87,72,7.0,light rain
187,Muncar,ID,-8.4333,114.3333,78.06,72,65,6.91,broken clouds
188,Superior,US,46.7208,-92.1041,78.48,80,75,12.66,broken clouds
189,Jam Sahib,PK,26.2958,68.6292,84.6,78,49,18.43,scattered clouds
190,Jinchang,CN,38.4953,102.1739,77.11,23,0,6.13,clear sky
191,Paragominas,BR,-2.9667,-47.4833,73.09,79,43,3.13,scattered clouds
192,Wanaka,NZ,-44.7,169.15,39.29,100,100,3.87,overcast clouds
193,Talaya,RU,61.3833,152.75,70.09,74,100,7.78,overcast clouds
194,Fortuna,US,40.5982,-124.1573,64.85,74,30,7.05,scattered clouds
195,Sunrise Manor,US,36.2111,-115.0731,109.72,15,0,9.22,clear sky
196,Ilovlya,RU,49.3033,43.9796,58.84,61,4,3.24,clear sky
197,Haines Junction,CA,60.7522,-137.5108,53.13,74,100,6.87,overcast clouds
198,Aktau,KZ,43.65,51.2,81.18,47,8,24.67,clear sky
199,Laguna,US,38.421,-121.4238,103.33,19,0,7.0,clear sky
200,Kahului,US,20.8947,-156.47,84.97,67,8,12.75,clear sky
201,Inhambane,MZ,-23.865,35.3833,67.57,88,0,5.01,clear sky
202,Zhangye,CN,38.9342,100.4517,76.5,24,40,8.59,scattered clouds
203,Brazzaville,CG,-4.2658,15.2832,70.11,94,9,3.44,clear sky
204,Brae,GB,60.3964,-1.353,56.17,94,100,12.73,overcast clouds
205,Curup,ID,-3.4667,102.5333,72.5,91,75,1.28,broken clouds
206,Okhotsk,RU,59.3833,143.3,61.7,80,96,6.24,overcast clouds
207,Qaqortoq,GL,60.7167,-46.0333,48.87,91,100,3.91,overcast clouds
208,Kolda,SN,12.8833,-14.95,74.57,95,74,6.82,broken clouds
209,Vostok,RU,46.4856,135.8833,69.26,77,100,1.03,overcast clouds
210,Upernavik,GL,72.7868,-56.1549,45.77,74,83,1.39,broken clouds
211,Saint-Georges,GD,12.0564,-61.7485,79.12,85,27,11.3,scattered clouds
212,Kijang,KR,35.2442,129.2139,85.73,74,100,2.82,overcast clouds
213,Honningsvag,NO,70.9821,25.9704,51.55,87,100,9.22,overcast clouds
214,Vaitape,PF,-16.5167,-151.75,77.72,69,14,5.73,few clouds
215,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,93,100,5.75,overcast clouds
216,Road Town,VG,18.4167,-64.6167,82.44,83,40,11.5,scattered clouds
217,Terrace Bay,CA,48.7834,-87.1,59.13,93,99,12.33,overcast clouds
218,Polunochnoye,RU,60.8697,60.4153,58.46,98,100,4.05,moderate rain
219,Talnakh,RU,69.4865,88.3972,58.01,48,100,1.61,overcast clouds
220,Edea,CM,3.8,10.1333,71.64,98,95,2.24,light rain
221,Rongcheng,CN,30.634,117.8517,88.99,69,95,5.66,overcast clouds
222,Mamallapuram,IN,12.6264,80.1722,82.45,77,54,11.7,broken clouds
223,Santa Cruz,BO,-17.8,-63.1667,67.46,77,56,2.3,broken clouds
224,Margate,GB,51.3813,1.3862,68.88,78,100,4.0,overcast clouds
225,Belaguntha,IN,19.8833,84.65,81.57,79,99,1.79,very heavy rain
226,Tasiilaq,GL,65.6145,-37.6368,37.56,88,60,2.91,broken clouds
227,Saint-Philippe,RE,-21.3585,55.7679,70.21,69,56,20.07,broken clouds
228,Iqaluit,CA,63.7506,-68.5145,37.85,95,100,3.36,light rain
229,Chulman,RU,56.8479,124.9104,70.07,64,24,2.95,few clouds
230,Aksarka,RU,66.5606,67.7975,60.22,69,43,8.61,scattered clouds
231,Sinnamary,GF,5.3833,-52.95,77.61,84,71,10.49,broken clouds
232,Kingaroy,AU,-26.5333,151.8333,55.44,88,100,13.8,overcast clouds
233,Ninghai,CN,29.2892,121.4247,87.24,76,100,3.69,overcast clouds
234,Khairpur Nathan Shah,PK,27.0936,67.7337,88.05,72,100,9.37,overcast clouds
235,Egvekinot,RU,66.3167,-179.1667,46.44,63,89,4.5,overcast clouds
236,High Level,CA,58.5169,-117.136,60.91,88,75,5.75,light rain
237,Businga,CD,3.3333,20.8833,68.94,99,100,1.95,light rain
238,Rocha,UY,-34.4833,-54.3333,42.22,92,4,6.38,clear sky
239,Melnikovo,RU,56.5558,84.085,57.25,91,84,4.21,broken clouds
240,Ancud,CL,-41.8697,-73.8203,52.23,95,100,18.61,light rain
241,Potchefstroom,ZA,-26.7167,27.1,52.32,55,62,4.56,broken clouds
242,New Norfolk,AU,-42.7826,147.0587,44.92,61,3,1.54,clear sky
243,Nicoya,CR,10.1483,-85.452,75.83,94,100,0.83,overcast clouds
244,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.07,81,1,10.18,clear sky
245,Port Lincoln,AU,-34.7333,135.8667,51.53,57,100,11.77,overcast clouds
246,Kaeo,NZ,-35.1,173.7833,62.02,71,61,9.24,broken clouds
247,Guaranda,EC,-1.6,-79.0,52.12,87,38,6.62,scattered clouds
248,Victor Harbor,AU,-35.5667,138.6167,50.0,77,6,6.22,clear sky
249,Doische,BE,50.1336,4.7355,72.72,68,0,9.22,clear sky
250,Swan River,CA,52.1058,-101.2676,78.69,53,99,2.3,overcast clouds
251,Trincomalee,LK,8.5711,81.2335,78.66,75,100,7.43,overcast clouds
252,Kedrovyy,RU,56.1667,91.8167,55.67,94,100,7.56,overcast clouds
253,Vao,NC,-22.6667,167.4833,73.89,89,24,14.29,few clouds
254,Gravdal,NO,68.1214,13.5031,52.47,85,100,6.89,overcast clouds
255,Ginda,IN,30.6945,78.4932,69.04,91,86,1.01,overcast clouds
256,Airai,TL,-8.9266,125.4092,65.8,52,71,2.66,broken clouds
257,Arlit,NE,18.7369,7.3853,89.26,33,92,6.17,overcast clouds
258,Nanakuli,US,21.3906,-158.1547,89.55,47,0,11.5,clear sky
259,Palmer,US,42.1584,-72.3287,81.25,73,40,3.44,scattered clouds
260,Burnie,AU,-41.0667,145.9167,48.94,57,0,1.88,clear sky
261,Oranjemund,NA,-28.55,16.4333,53.08,86,0,15.77,clear sky
262,Rawson,AR,-43.3002,-65.1023,54.72,55,100,21.36,overcast clouds
263,Knysna,ZA,-34.0363,23.0471,54.1,87,100,4.61,overcast clouds
264,Provideniya,RU,64.3833,-173.3,50.52,58,81,9.15,broken clouds
265,Seaham,GB,54.839,-1.3458,76.32,63,98,15.08,overcast clouds
266,Buala,SB,-8.145,159.5921,84.97,64,13,7.63,few clouds
267,Vagay,RU,57.9375,69.0217,62.82,77,100,3.27,overcast clouds
268,Kupang,ID,-10.1667,123.5833,79.36,56,100,9.19,overcast clouds
269,Kenai,US,60.5544,-151.2583,54.14,89,100,11.5,light rain
270,Umea,SE,63.8284,20.2597,52.92,81,0,3.44,clear sky
271,Beringovskiy,RU,63.05,179.3167,53.85,62,84,25.5,broken clouds
272,Isangel,VU,-19.55,169.2667,80.98,73,93,10.09,overcast clouds
273,Kizhinga,RU,51.8462,109.9097,68.52,66,56,6.62,broken clouds
274,Padang,ID,-0.9492,100.3543,75.25,87,100,2.3,overcast clouds
275,Vostochnyy,RU,55.8167,37.8667,54.7,76,59,6.87,broken clouds
276,Vanimo,PG,-2.6741,141.3028,80.67,80,87,2.95,overcast clouds
277,Vila Velha,BR,-20.3297,-40.2925,69.94,93,0,3.44,clear sky
278,Verkhnevilyuysk,RU,63.4453,120.3167,55.69,68,100,8.57,overcast clouds
279,Chuy,UY,-33.6971,-53.4616,45.1,88,0,5.61,clear sky
280,Namibe,AO,-15.1961,12.1522,61.74,86,0,7.09,clear sky
281,Maku,IR,39.2911,44.4521,69.91,50,5,2.8,clear sky
282,Florianopolis,BR,-27.6146,-48.5012,60.69,73,61,3.0,broken clouds
283,Tutoia,BR,-2.7619,-42.2744,77.9,89,92,7.67,overcast clouds
284,Bambanglipuro,ID,-7.95,110.2833,79.68,74,9,4.07,clear sky
285,Raudeberg,NO,61.9875,5.1352,66.87,89,100,21.43,light rain
286,Sioux Lookout,CA,50.1001,-91.917,73.47,78,100,8.05,overcast clouds
287,Griffith,US,41.5284,-87.4237,84.88,69,0,8.05,clear sky
288,Bilibino,RU,68.0546,166.4372,51.3,52,77,2.73,broken clouds
289,Goderich,CA,43.7501,-81.7165,72.91,88,93,1.14,overcast clouds
290,Sandviken,SE,60.6167,16.7667,54.57,75,17,4.81,few clouds
291,Olinda,BR,-8.0089,-34.8553,74.93,78,75,8.05,broken clouds
292,Huambo,AO,-12.7761,15.7392,53.04,46,5,0.58,clear sky
293,Ahuimanu,US,21.4447,-157.8378,89.31,68,40,13.8,light rain
